# id	delivery	trust_class	provenance_note
brave-browser	vendor-rpm	signed-vendor	Brave Software RPM repository with GPG verification
code	vendor-rpm	signed-vendor	Microsoft VS Code RPM repository with GPG verification
com.bitwarden.desktop	flathub	verified-publisher	Flathub publisher identity is verified by Bitwarden Inc.
com.slack.Slack	flathub	community-unverified	Community-maintained Flathub package; not verified/affiliated with Slack
org.onlyoffice.desktopeditors	flathub	verified-publisher	Flathub publisher identity is verified by ONLYOFFICE
com.github.marktext.marktext	flathub	community-unverified	Community-maintained Flathub package; not verified/affiliated with MarkText
com.jgraph.drawio.desktop	flathub	community-unverified	Community-maintained Flathub package; not verified/affiliated with JGraph
